rank,address,balance_raw,balance_formatted,percentage_of_supply
17876,0xb1a1691be1e16fb92b0c7aba6274874d74af75ed,1000000000005540828,1.000000000005540901,0.000000
17877,0xeef3719b299b5766dbce07c0935e91fe834c1ea0,1000000000005538108,1.000000000005538014,0.000000
17878,0x42ceb50b5c81a966bc533db89b99d928db370c6c,1000000000005498593,1.000000000005498491,0.000000
17879,0x1c2e35cac5f46a6b9b48ebcc3e1d5dd9f16630a6,1000000000005489195,1.000000000005489165,0.000000
17880,0xcb27b19321a98ef43fee96baf3dea92deb0ecb91,1000000000005409524,1.000000000005409451,0.000000
17881,0x2f590addb9fcf0e115b0a06907f57002e8f3553d,1000000000005264135,1.000000000005264233,0.000000
17882,0xa52863b286777b6e4582ad46dae77c1dffadf2b0,1000000000005158143,1.000000000005158096,0.000000
17883,0x563bfb596e32e0490a538b425dad46bf4eec565a,1000000000005102466,1.000000000005102363,0.000000
17884,0x1bbf188cf645825fba180be3a57a689eb771a91d,1000000000004866144,1.000000000004866108,0.000000
17885,0xd1a1a4e687d6decf869877a102fe5120ef4a2914,1000000000004836985,1.000000000004837020,0.000000
17886,0xd2a62a20495eaa26263e06ec04ed567bdc08fbd5,1000000000004829551,1.000000000004829470,0.000000
17887,0x1723e1338aa4620fb21c6337f538b828b8fecce8,1000000000004828889,1.000000000004828804,0.000000
17888,0x5b2d16281a9beac8539299cf53cde35f8e1b313e,1000000000004676586,1.000000000004676481,0.000000
17889,0xe6eb0eedd97e0be7b3e6f6c1ae6c5015ad154608,1000000000004637863,1.000000000004637846,0.000000
17890,0xd769000609d58578042f3f93f153fa964b3ae870,1000000000004630171,1.000000000004630074,0.000000
17891,0xb61e6ee57a77e7e5f97099f1a1e66000decdb711,1000000000004482011,1.000000000004481970,0.000000
17892,0x3acbeec76150f95befb589253443b1b4751279cf,1000000000004385590,1.000000000004385603,0.000000
17893,0x49ecaef76905a8fad08e14ad81092242a8115acb,1000000000004323949,1.000000000004323875,0.000000
17894,0x437467889c8aac27a475346023053f23fae164f6,1000000000004238328,1.000000000004238387,0.000000
17895,0xed20ae03bf260a16929e1117e3edd86c9dc0ae22,1000000000004188332,1.000000000004188427,0.000000
17896,0x5b230efbf949e28c61fd4263d7603ca251021cbd,1000000000004083423,1.000000000004083400,0.000000
17897,0x9c1abbe051acc0aeff12f78651b24efcf182a1c8,1000000000004051410,1.000000000004051426,0.000000
17898,0xe8a49ae3d787f50d53330dce2fd4a870b6c3c103,1000000000003994390,1.000000000003994360,0.000000
17899,0x5224963057e41c2be301431a7133944bbe4a90b0,1000000000003922392,1.000000000003922418,0.000000
17900,0x49b63667b868ea67a95311c834bcd704b443aca8,1000000000003835087,1.000000000003835154,0.000000
17901,0xc8cf56529daef71e29b9756903e8c296edd711a2,1000000000003769881,1.000000000003769873,0.000000
17902,0x6cf72fcae44d000d529dcd0efc580cec8e359b01,1000000000003707930,1.000000000003707923,0.000000
17903,0x6e5517746744f97ff6b4ca01653e4bc66166cbee,1000000000003613605,1.000000000003613554,0.000000
17904,0x4480243f0c3a9ccdfeb0f9bb1107f97c007928cf,1000000000003479599,1.000000000003479661,0.000000
17905,0xd59ca3f5254d4c845680fda9747c5df45714ffd0,1000000000003453313,1.000000000003453238,0.000000
17906,0xa674df4f3cc479f58606c1a333e0d01d1208e86e,1000000000003450587,1.000000000003450573,0.000000
17907,0x0d3b5c9095d6127ea959aaf4be20aece59a061d6,1000000000003252194,1.000000000003252287,0.000000
17908,0xfac319bdaa5efa26d203acbcaf1ee84d0551fd7f,1000000000003229417,1.000000000003229417,0.000000
17909,0x187dfefc05a8f3f22554c59a36eeae3f56b2948a,1000000000003228762,1.000000000003228751,0.000000
17910,0x2d0bfbc0b156991364ca35d57cddee8a05156464,1000000000003183605,1.000000000003183676,0.000000
17911,0xa47c255f8e05959d34859b66de66840207ce020f,1000000000003018890,1.000000000003018918,0.000000
17912,0x86ef6c4a512901719ee6c0c22fdc869849765563,1000000000002996830,1.000000000002996936,0.000000
17913,0xfd62f28b777a82ed21a66973a774b97aeb8f8f24,1000000000002958574,1.000000000002958522,0.000000
17914,0x2d86bbacf67e9cee26f9d8abadfe372618724ba0,1000000000002916094,1.000000000002916112,0.000000
17915,0xa4de41b8ab4f76a60f06805025eb160f4f542ee6,1000000000002884360,1.000000000002884359,0.000000
17916,0x2aa10b2343016d158dc67216c6420b4ec2a0976f,1000000000002806386,1.000000000002806422,0.000000
17917,0xc920c927f8956cc5946437e519dbf23f8b438c63,1000000000002805774,1.000000000002805756,0.000000
17918,0xe3769042738e09f6d34060df1adcfc592442772b,1000000000002765717,1.000000000002765788,0.000000
17919,0x7bf32869d46e4b683d73c2da30feff6d25a971f8,1000000000002745397,1.000000000002745359,0.000000
17920,0x7d5910f3c682e4cf41171d9d11d8531052c20b9b,1000000000002597887,1.000000000002597922,0.000000
17921,0xf418caf1f5e941f26a2b8054ed6d0f50f346467d,1000000000002560077,1.000000000002560174,0.000000
17922,0xa7a4d26e4599004fe19c1d2e75790dc1b78143ec,1000000000002556115,1.000000000002556177,0.000000
17923,0xd2483cbb0fbe300d343452dfa099d9ed08373338,1000000000002550531,1.000000000002550626,0.000000
17924,0x7d26c94565a49a2ef388edf75103e06feeae74a8,1000000000002450748,1.000000000002450706,0.000000
17925,0xbebab8c6e922f2c759f63a212ef6842e3012b190,1000000000002362973,1.000000000002362999,0.000000
17926,0x6db77b5408b05862c2a8a368ebca41bd482ba1c7,1000000000002194879,1.000000000002194911,0.000000
17927,0xce55e9059b9213c76b51bc15ed6e7089ad976391,1000000000002177749,1.000000000002177813,0.000000
17928,0xfb2f6310e5022ce80e863ac38a5c20d8971bb626,1000000000002120121,1.000000000002120082,0.000000
17929,0x9d44e81a7a2a7d003d3b76b0a1938fda549572ca,1000000000002012619,1.000000000002012612,0.000000
17930,0xb3a3ecd5c4e3a15107a47cabaf361ea8477d55ab,1000000000002008677,1.000000000002008615,0.000000
17931,0xab28e8f2b949144c079be2951f2e189918b09038,1000000000001659398,1.000000000001659339,0.000000
17932,0x0e3734ea3d9f4bc824caeb756a4f3244d2e96946,1000000000001650200,1.000000000001650236,0.000000
17933,0x3f2e1130a70e858b1af4d82a40b9620d0754c53c,1000000000001429922,1.000000000001429967,0.000000
17934,0x5fe9cfc03173f58746b1dc1e5295a3a920441df1,1000000000001374563,1.000000000001374456,0.000000
17935,0x0519e97995493d7a40127d90e440b1ab0a713c1f,1000000000001290775,1.000000000001290745,0.000000
17936,0xe9cbbc2a9c7ac6c8635bff0d86c7f7427e79f1e7,1000000000001288723,1.000000000001288747,0.000000
17937,0x20989e7abd99d935cfd8eb8759b0d16299650eef,1000000000001278491,1.000000000001278533,0.000000
17938,0x5d7aa14abbfe17068ca00ce08e1112a5a577b092,1000000000001275575,1.000000000001275646,0.000000
